,country_name,country_code,score
0,Albania,ALB,419.7925383399523
1,Argentina,ARG,395.0094567439796
2,Australia,AUS,498.98543751591166
3,Austria,AUT,491.038440614333
4,Belarus,BLR,472.3057573346717
5,Belgium,BEL,499.902624066511
6,Bosnia and Herzegovina,BIH,402.61996395814464
7,Brazil,BRA,400.0211276102237
8,Brunei Darussalam,BRN,423.0557609677897
9,Bulgaria,BGR,426.65271994559566
10,Canada,CAN,516.7000415020407
11,Chile,CHL,437.7538912377367
12,China,CHN,579.0274935156027
13,Colombia,COL,405.5167841299287
14,Costa Rica,CRI,414.817081908383
15,Croatia,HRV,471.8520148933406
16,Cyprus,CYP,438.016497147189
17,Czech Republic,CZE,495.49259219628334
18,Denmark,DNK,501.055113875842
19,Dominican Republic,DOM,334.1187046470847
20,Estonia,EST,525.5132010606427
21,Finland,FIN,516.4215577594578
22,France,FRA,493.6637129456467
23,Georgia,GEO,386.6675007474783
24,Germany,DEU,500.43731313995266
25,Greece,GRC,453.4724933735347
26,"Hong Kong SAR, China",HKG,530.7078402754237
27,Hungary,HUN,479.32700082785436
28,Iceland,ISL,481.395266424993
29,Indonesia,IDN,381.90118959861894
30,Ireland,IRL,504.60830500988203
31,Israel,ISR,465.215453217811
32,Italy,ITA,476.96208853236334
33,Japan,JPN,519.9882418589963
34,Jordan,JOR,416.0258812343697
35,Kazakhstan,KAZ,402.3867476695823
36,"Korea, Rep.",KOR,519.664181466122
37,Kosovo,XKX,361.2775956520923
38,Latvia,LVA,487.35853106626433
39,Lebanon,LBN,376.840788116851
40,Lithuania,LTU,479.7105601577453
41,Luxembourg,LUX,476.7254269315743
42,"Macao SAR, China",MAC,542.124044347187
43,Malaysia,MYS,430.9350415296524
44,Malta,MLT,458.8498326467743
45,Mexico,MEX,416.15836203613907
46,Moldova,MDA,424.36074380569136
47,Montenegro,MNE,421.94711559345734
48,Morocco,MAR,367.9040427158423
49,Netherlands,NLD,502.4661759323773
50,New Zealand,NZL,502.90256028196035
51,North Macedonia,MKD,400.05309098036605
52,Norway,NOR,496.94263130164796
53,OECD members,OED,488.358337444469
54,Panama,PAN,364.813781628179
55,Peru,PER,401.5223273590627
56,Philippines,PHL,349.73066023276533
57,Poland,POL,512.846377260531
58,Portugal,PRT,491.9885065880803
59,Qatar,QAT,413.48255488259133
60,Romania,ROU,427.793733336761
61,Russian Federation,RUS,481.3353841640767
62,Saudi Arabia,SAU,386.2122030951023
63,Serbia,SRB,442.5410956556554
64,Singapore,SGP,556.4697958609936
65,Slovak Republic,SVK,469.3987998926004
66,Slovenia,SVN,503.749901727235
67,Spain,ESP,482.322327700482
68,Sweden,SWE,502.5392042381047
69,Switzerland,CHE,498.1734687466867
70,Thailand,THA,412.4191975482724
71,Turkey,TUR,462.4796877134827
72,Ukraine,UKR,462.6851298935433
73,United Arab Emirates,ARE,433.4552746546363
74,United Kingdom,GBR,503.45516061785
75,United States,USA,495.32584014273135
76,Uruguay,URY,423.5306373673773
77,Vietnam,VNM,514.5219761962327
